"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"64","1","file:/data/kalbeck_2__0025_b.tif","/data/kalbeck_2__0025_b.tif","kalbeck_2__0025_b.tif","Signature","Done","56806663","File","tif","2026-05-20T06:53:36","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"65","1","file:/data/kalbeck_2__0026_a.tif","/data/kalbeck_2__0026_a.tif","kalbeck_2__0026_a.tif","Signature","Done","58522357","File","tif","2026-05-20T06:53:37","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"66","1","file:/data/kalbeck_2__0027_b.tif","/data/kalbeck_2__0027_b.tif","kalbeck_2__0027_b.tif","Signature","Done","56400495","File","tif","2026-05-20T06:53:40","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"67","1","file:/data/kalbeck_2__0028_b.tif","/data/kalbeck_2__0028_b.tif","kalbeck_2__0028_b.tif","Signature","Done","58502895","File","tif","2026-05-20T06:53:42","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"68","1","file:/data/kalbeck_2__0027_a.tif","/data/kalbeck_2__0027_a.tif","kalbeck_2__0027_a.tif","Signature","Done","58715119","File","tif","2026-05-20T06:53:39","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"69","1","file:/data/kalbeck_2__0029_a.tif","/data/kalbeck_2__0029_a.tif","kalbeck_2__0029_a.tif","Signature","Done","59638503","File","tif","2026-05-20T06:53:44","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"70","1","file:/data/kalbeck_2__0028_a.tif","/data/kalbeck_2__0028_a.tif","kalbeck_2__0028_a.tif","Signature","Done","59189661","File","tif","2026-05-20T06:53:41","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"71","1","file:/data/kalbeck_2__0030_b.tif","/data/kalbeck_2__0030_b.tif","kalbeck_2__0030_b.tif","Signature","Done","55984001","File","tif","2026-05-20T06:53:46","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"72","1","file:/data/kalbeck_2__0029_b.tif","/data/kalbeck_2__0029_b.tif","kalbeck_2__0029_b.tif","Signature","Done","58002439","File","tif","2026-05-20T06:53:44","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"73","1","file:/data/kalbeck_2__0030_a.tif","/data/kalbeck_2__0030_a.tif","kalbeck_2__0030_a.tif","Signature","Done","56795603","File","tif","2026-05-20T06:53:46","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
